Phase2.CSV,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage,,,,,,,,,
0.33,0.1,60,200,1,6,1,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",23.54864006,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[13.029572203234371, 51.19518862766539, 6.421159363651889]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",23.8742088,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.4, 0]]",1,6,1,"[13.288843408680496, 51.19518862766539, 7.138594355569832]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",24.16527857,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.45, 0]]",1,6,1,"[14.576531873043995, 51.19518862766539, 6.724115217686439]",,,,,,8.131854159,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]"
"['filip2', 'hayden2', 'roy1']",24.56298677,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.5, 0]]",1,6,1,"[16.197098017527043, 51.19518862766539, 6.296673650031782]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",23.54864006,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[13.029572203234371, 51.19518862766539, 6.421159363651889]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",23.8742088,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.4, 0]]",1,6,1,"[13.288843408680496, 51.19518862766539, 7.138594355569832]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",24.16527857,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.45, 0]]",1,6,1,"[14.576531873043995, 51.19518862766539, 6.724115217686439]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",24.56298677,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.5, 0]]",1,6,1,"[16.197098017527043, 51.19518862766539, 6.296673650031782]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.131854159,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[13.554047167631513, 3.976539589442808, 6.864975720124478]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.28665785,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.4, 0]]",1,6,1,"[14.285001206109438, 3.976539589442808, 6.598432754150921]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.826471228,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.45, 0]]",1,6,1,"[15.904441339616335, 3.976539589442808, 6.598432754150921]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.074858822,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.5, 0]]",1,6,1,"[17.077045689026892, 3.976539589442808, 6.1709911864962645]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.131854159,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[13.554047167631513, 3.976539589442808, 6.864975720124478]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.28665785,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.04, 0], [0.4, 0]]",1,6,1,"[14.285001206109438, 3.976539589442808, 6.598432754150921]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",8.826471228,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.04, 0], [0.45, 0]]",1,6,1,"[15.904441339616335, 3.976539589442808, 6.598432754150921]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.074858822,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.04, 0], [0.5, 0]]",1,6,1,"[17.077045689026892, 3.976539589442808, 6.1709911864962645]",,,,,,,,
